symbol	globalScore	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen
CCR4	0.13005852497087142	0.20254780286338597	No data	No data	No data	No data	No data	No data	No data	No data
GFI1	0.12262582987375552	0.20171017878270991	No data	No data	No data	No data	No data	No data	No data	No data
KDM8	0.1225340914527425	0.20155927604612633	No data	No data	No data	No data	No data	No data	No data	No data
TRIQK	0.12100421092203198	0.19904273874168155	No data	No data	No data	No data	No data	No data	No data	No data
SLC45A1	0.119996153928088	0.19738456153153802	No data	No data	No data	No data	No data	No data	No data	No data
IFT140	0.11940966521305664	0.1964198321292187	No data	No data	No data	No data	No data	No data	No data	No data
NR4A3	0.11756394569206323	0.1922706138177829	No data	No data	No data	No data	No data	No data	No data	No data
CNTN4	0.11688722761552073	0.1922706138177829	No data	No data	No data	No data	No data	No data	No data	No data
SLC6A15	0.11688722761552073	0.1922706138177829	No data	No data	No data	No data	No data	No data	No data	No data
IRAK1BP1	0.11688722761552073	0.1922706138177829	No data	No data	No data	No data	No data	No data	No data	No data
IL15RA	0.11686406534390148	0.1907126866457233	No data	No data	No data	No data	No data	No data	No data	No data
LCE5A	0.11510500373174605	0.18933899085876107	No data	No data	No data	No data	No data	No data	No data	No data
TNP2	0.11384009441984352	0.1872583110891689	No data	No data	No data	No data	No data	No data	No data	No data
GABPB2	0.110647605151374	0.18200690865814903	No data	No data	No data	No data	No data	No data	No data	No data
SPRR1B	0.11085543233064583	0.18182435421297963	No data	No data	No data	No data	No data	No data	No data	No data
STAT3	0.11399429854418346	0.18057150944881373	No data	No data	No data	No data	No data	No data	No data	No data
LRATD2	0.10730146028820488	0.1765027544413942	No data	No data	No data	No data	No data	No data	No data	No data
PPP6R1	0.10718865143864126	0.1763171924497879	No data	No data	No data	No data	No data	No data	No data	No data
IL37	0.11426087902436581	0.17438598528231097	No data	No data	No data	No data	No data	No data	No data	No data
IER5L	0.10330949522490511	0.16993627503455547	No data	No data	No data	No data	No data	No data	No data	No data
ERBB3	0.10140596979982126	0.16680512025088234	No data	No data	No data	No data	No data	No data	No data	No data
OR9K2	0.09975221238667217	0.164084814881182	No data	No data	No data	No data	No data	No data	No data	No data
TRAF6	0.10074454882046693	0.16358937517195032	No data	No data	No data	No data	No data	No data	No data	No data
CPVL	0.09925690001951355	0.16327006364781046	No data	No data	No data	No data	No data	No data	No data	No data
FOXF2	0.09856032746867914	0.16212425469460223	No data	No data	No data	No data	No data	No data	No data	No data
XPO7	0.09833423282851829	0.16175234617960496	No data	No data	No data	No data	No data	No data	No data	No data
IL26	0.10132270457661115	0.16119245883165437	No data	No data	No data	No data	No data	No data	No data	No data
IL6ST	0.39393419310198835	0.15787472972711492	No data	No data	0.607930797611621	No data	No data	No data	No data	No data
TRIM71	0.09557783198816891	0.15721827609929573	No data	No data	No data	No data	No data	No data	No data	No data
NAB2	0.09274861203495094	0.15256442410769877	No data	No data	No data	No data	No data	No data	No data	No data
IZUMO1	0.09219571429716589	0.15165494931228254	No data	No data	No data	No data	No data	No data	No data	No data
