cell_id,group
amimhoce-1,F1: Superficial
amioedld-1,Melanocyte
amjhbmac-1,KC1
amjhdfka-1,KC1
amjhfbec-1,Melanocyte
amjifnhd-1,Melanocyte
amjjllck-1,KC1
amjlmgni-1,KC1
amjoeohi-1,KC1
amkbdnfl-1,KC1
amkododi-1,KC3
amlgbolb-1,KC3
amljohgi-1,KC3
amlknial-1,KC1
amloijfb-1,KC3
ammbjbfm-1,KC3
ammdgclp-1,KC3
ammfneih-1,KC3
ammigkpg-1,KC3
ammjjpkh-1,Pericyte1
amnpadga-1,KC3
amogmijc-1,LC
amommgdc-1,KC3
ampdkiln-1,KC3
ampmpohl-1,KC3
ampndfob-1,KC
ampnedca-1,KC3
ampoohhb-1,KCinflamm_basal
anahjnih-1,KC3
anapeppn-1,KC3
anbaadjb-1,KC1
anbhnmpm-1,KC1
anbpikfg-1,KC3
ancbnmme-1,KC5
anchpcmc-1,KC3
ancnkboa-1,KC3
andbmmpf-1,KC3
andfbpnk-1,KC3
andfffch-1,KC
andjiddo-1,KC3
aneacipf-1,KC3
aneeeade-1,KC3
anefiphn-1,KC3
anehlgco-1,KC3
anephcng-1,KC3
anfcanii-1,KC3
anfcnhik-1,KC5
anfdidih-1,KC
anfdmlkc-1,KC5
anfifmah-1,KC
anfkbdob-1,KC3
anfmhlpg-1,KC1
anfmoipm-1,KC5
angbfnll-1,KC
angckibl-1,KC
anhckfhn-1,KC3
anhcofon-1,KC1
anhefkak-1,Melanocyte
anhfdhna-1,KC1
anhgmakc-1,KC3
anhjdife-1,KC3
anhjfcgp-1,KC3
anhplgph-1,LC
anibhlcb-1,KC1
anicnnpj-1,KC3
anidaocm-1,KC3
anihniok-1,KC3
anindmcd-1,KC3
anjfhldj-1,KC3
anjjncah-1,KC3
anjnhpjg-1,KC3
ankdehdm-1,KC3
ankdgodc-1,VE3_Ven
ankfmlgm-1,KC3
anldjnnk-1,KC1
anlnghmn-1,KC3
anlolhoe-1,F2: Universal
anmbhlff-1,F2: Universal
anmdghgh-1,KC1
anmgghkn-1,F2: Universal
annbjpja-1,Mac2
annhjlcb-1,Th
annopcgk-1,Th
anoedelg-1,KC3
anojmnkm-1,KC3
anpecbak-1,KC3
anpefdkc-1,KC3
anphjecj-1,KC3
anpjnpec-1,KC3
anpnkmgk-1,Th
anpofebl-1,KC3
anppcnab-1,KC3
aoafhnga-1,KC3
aoakpjbj-1,KC3
aoanoobo-1,KC3
aoapkbaa-1,KC3
aobcijkd-1,KC3
aobgkajn-1,KC5
aobhgmdi-1,KC3
aobkfmkj-1,KC3
aobkjcog-1,KC3
aocikhdn-1,KC3
aocobcop-1,KC1-2_cycling
aodghdgj-1,KC
aodofdlk-1,KC3
aoefadil-1,KC3
aoefbnal-1,KC3
aoeiddcm-1,KC3
aoeijnoa-1,KC3
aoemahhn-1,KC3
aofcbcag-1,KC1
aofcbgda-1,KC1
aofddkjj-1,KC1
aofkpcfd-1,KC1
aoflfgcp-1,Melanocyte
aofoajfm-1,KC1
aogachlb-1,KC3
aogcoaca-1,KC1
aogjincj-1,KC3
aogllepb-1,KC3
aogmfhga-1,KC1
aohbidph-1,KC3
aohemobf-1,KC3
aohgaiik-1,KC3
aohjkaoh-1,KC3
aohoibfe-1,KC3
aoidknha-1,KC3
